# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
1.000000000000000000e+01,1.666666999999999916e+02,2.794728000000000212e-01,1.428571000000000026e+02,9.082300000000000095e-02,-1.500000000000000000e+02
1.050000000000000000e+01,1.005025000000000013e+01,1.647907999999999873e-01,1.000000000000000000e+01,8.329382000000000452e-02,9.226130999999999460e+01
1.100000000000000000e+01,1.041666999999999987e+01,2.331992999999999983e-01,1.041666999999999987e+01,7.770246000000000097e-02,-1.312500000000000000e+01
1.150000000000000000e+01,1.098901000000000039e+01,2.269191999999999876e-01,1.098901000000000039e+01,5.574032000000000292e-02,4.153846000000000060e+01
1.200000000000000000e+01,1.152073999999999998e+01,2.401218999999999992e-01,1.141553000000000040e+01,5.392153999999999697e-02,4.728110999999999819e+01
1.250000000000000000e+01,1.201923000000000030e+01,2.461726999999999943e-01,1.196171999999999969e+01,5.471250999999999892e-02,4.932692000000000121e+01
1.300000000000000000e+01,1.250000000000000000e+01,2.569093000000000071e-01,1.250000000000000000e+01,6.129888000000000003e-02,4.589999999999999858e+01
1.350000000000000000e+01,1.302083000000000013e+01,2.363921999999999968e-01,1.302083000000000013e+01,5.884393999999999736e-02,6.468748999999999683e+01
1.400000000000000000e+01,1.351351000000000013e+01,2.543384000000000200e-01,1.351351000000000013e+01,6.757441000000000142e-02,5.740541000000000338e+01
1.450000000000000000e+01,1.404494000000000042e+01,2.736812000000000134e-01,1.396648000000000067e+01,7.605570000000000386e-02,6.370785999999999660e+01
1.500000000000000000e+01,1.445087000000000010e+01,2.401637000000000077e-01,1.449274999999999913e+01,6.736283999999999328e-02,8.219652999999999565e+01
1.550000000000000000e+01,1.497006000000000014e+01,2.528876999999999931e-01,1.506024000000000029e+01,7.208884999999999599e-02,8.083832999999999913e+01
1.600000000000000000e+01,1.562500000000000000e+01,2.645383000000000040e-01,1.582278999999999947e+01,8.752516999999999936e-02,6.412500000000000000e+01
1.650000000000000000e+01,1.612903000000000020e+01,2.764617999999999798e-01,1.602563999999999922e+01,1.075003999999999960e-01,6.619355000000000189e+01
1.700000000000000000e+01,1.644736999999999938e+01,2.552386999999999850e-01,1.655629000000000062e+01,1.063920000000000005e-01,8.644736000000000331e+01
1.750000000000000000e+01,1.700679999999999836e+01,2.745589999999999975e-01,1.700679999999999836e+01,1.238536999999999971e-01,8.204080999999999335e+01
1.800000000000000000e+01,1.748252000000000095e+01,2.520637000000000016e-01,1.748252000000000095e+01,1.135362000000000038e-01,8.937063000000000557e+01
1.850000000000000000e+01,1.798561000000000121e+01,2.698120999999999992e-01,1.798561000000000121e+01,1.264859999999999873e-01,8.676259000000000299e+01
1.900000000000000000e+01,1.851851999999999876e+01,2.751356999999999831e-01,1.851851999999999876e+01,1.349923000000000095e-01,8.933333000000000368e+01
1.950000000000000000e+01,1.893938999999999950e+01,2.760321000000000025e-01,1.908397000000000077e+01,1.408147999999999900e-01,9.136363000000000056e+01
2.000000000000000000e+01,1.953125000000000000e+01,2.570172000000000012e-01,1.953125000000000000e+01,1.354037999999999908e-01,1.026563000000000017e+02
2.050000000000000000e+01,2.000000000000000000e+01,2.613516000000000172e-01,1.984127000000000152e+01,1.379989000000000077e-01,1.080000000000000000e+02
2.100000000000000000e+01,2.049180000000000135e+01,2.595333000000000223e-01,2.049180000000000135e+01,1.315356000000000025e-01,1.106556999999999960e+02
2.150000000000000000e+01,2.100840000000000174e+01,2.714480000000000226e-01,2.083333000000000013e+01,1.435484999999999955e-01,1.043696999999999946e+02
2.200000000000000000e+01,2.155171999999999954e+01,2.759569000000000050e-01,2.136751999999999896e+01,1.569416999999999895e-01,1.039655000000000058e+02
2.250000000000000000e+01,2.192981999999999942e+01,2.600745999999999891e-01,2.192981999999999942e+01,1.496948999999999919e-01,1.121052999999999997e+02
2.300000000000000000e+01,2.252252000000000010e+01,2.541100000000000025e-01,2.272727000000000075e+01,1.434699999999999864e-01,1.151350999999999942e+02
2.350000000000000000e+01,2.293578000000000117e+01,2.550479999999999969e-01,2.293578000000000117e+01,1.410144000000000120e-01,1.172476999999999947e+02
2.400000000000000000e+01,2.358491000000000071e+01,2.815484999999999793e-01,2.358491000000000071e+01,1.544451000000000018e-01,1.103773999999999944e+02
2.450000000000000000e+01,2.403846000000000060e+01,2.643480999999999748e-01,2.427184000000000097e+01,1.475790999999999908e-01,1.125000000000000000e+02
2.500000000000000000e+01,2.450979999999999848e+01,2.812970000000000192e-01,2.450979999999999848e+01,1.636228999999999878e-01,1.041175999999999959e+02
2.550000000000000000e+01,2.500000000000000000e+01,2.588176999999999839e-01,2.500000000000000000e+01,1.523336000000000134e-01,1.097999999999999972e+02
2.600000000000000000e+01,2.525253000000000014e+01,2.575814000000000159e-01,2.551020000000000110e+01,1.568981999999999877e-01,1.145454000000000008e+02
2.650000000000000000e+01,2.604166999999999987e+01,2.768948999999999994e-01,2.604166999999999987e+01,1.757303000000000059e-01,1.068750000000000000e+02
2.700000000000000000e+01,2.659574999999999889e+01,2.763213999999999948e-01,2.659574999999999889e+01,1.801166999999999907e-01,1.091488999999999976e+02
2.750000000000000000e+01,2.688172000000000139e+01,2.759241000000000055e-01,2.688172000000000139e+01,1.839409999999999934e-01,1.064515999999999991e+02
2.800000000000000000e+01,2.777777999999999992e+01,2.750079000000000273e-01,2.747252999999999901e+01,1.878963999999999912e-01,1.100000000000000000e+02
2.850000000000000000e+01,2.808989000000000047e+01,2.733954000000000106e-01,2.808989000000000047e+01,1.927483999999999864e-01,1.031461000000000041e+02
2.900000000000000000e+01,2.840908999999999907e+01,2.697807999999999873e-01,2.840908999999999907e+01,1.986091000000000106e-01,1.125000000000000000e+02
2.950000000000000000e+01,2.906976999999999833e+01,2.747767999999999877e-01,2.906976999999999833e+01,2.129979999999999929e-01,1.067442000000000064e+02
3.000000000000000000e+01,2.941176000000000101e+01,2.687976999999999728e-01,2.941176000000000101e+01,2.203766000000000058e-01,1.037647000000000048e+02
3.050000000000000000e+01,3.012048000000000059e+01,2.736773000000000122e-01,3.012048000000000059e+01,2.362729000000000079e-01,1.062651000000000039e+02
3.100000000000000000e+01,3.048780000000000001e+01,2.703330999999999928e-01,3.086420000000000030e+01,2.420590999999999993e-01,1.075610000000000070e+02
3.150000000000000000e+01,3.125000000000000000e+01,2.685649999999999982e-01,3.125000000000000000e+01,2.470218000000000136e-01,1.102500000000000000e+02
3.200000000000000000e+01,3.164556999999999931e+01,2.587711999999999790e-01,3.164556999999999931e+01,2.430829999999999935e-01,1.116456000000000017e+02
3.250000000000000000e+01,3.164556999999999931e+01,2.810656999999999739e-01,3.205127999999999844e+01,2.730929000000000273e-01,1.070885999999999996e+02
3.300000000000000000e+01,3.289473999999999876e+01,2.776713000000000098e-01,3.289473999999999876e+01,2.875969999999999915e-01,1.113157999999999959e+02
3.350000000000000000e+01,3.289473999999999876e+01,2.799691999999999736e-01,3.300330000000000297e+01,3.043788000000000049e-01,1.107236999999999938e+02
3.400000000000000000e+01,3.367002999999999702e+01,2.752218000000000164e-01,3.344481999999999999e+01,3.149283999999999972e-01,1.093289000000000044e+02
3.450000000000000000e+01,3.412968999999999653e+01,2.754923000000000233e-01,3.401359999999999673e+01,3.306317999999999757e-01,1.111945000000000050e+02
3.500000000000000000e+01,3.448275999999999897e+01,2.719971999999999945e-01,3.460208000000000084e+01,3.447954999999999770e-01,1.123448000000000064e+02
3.550000000000000000e+01,3.508771999999999736e+01,2.686376999999999793e-01,3.508771999999999736e+01,3.606279000000000012e-01,1.130525999999999982e+02
3.600000000000000000e+01,3.558718999999999966e+01,2.722777000000000114e-01,3.546099000000000245e+01,3.871130999999999878e-01,1.197865000000000038e+02
3.650000000000000000e+01,3.597122999999999848e+01,2.512664000000000009e-01,3.603603999999999985e+01,3.687218999999999913e-01,1.171942999999999984e+02
3.700000000000000000e+01,3.656307000000000329e+01,2.498408000000000018e-01,3.649634999999999962e+01,3.953860000000000152e-01,1.224132000000000033e+02
3.750000000000000000e+01,3.690037000000000234e+01,2.652596999999999872e-01,3.690037000000000234e+01,4.465389000000000164e-01,1.188930000000000007e+02
3.800000000000000000e+01,3.759398999999999802e+01,2.674819999999999975e-01,3.745318999999999932e+01,4.750184000000000073e-01,1.224812000000000012e+02
3.850000000000000000e+01,3.802280999999999977e+01,2.642456999999999723e-01,3.802280999999999977e+01,4.946611000000000202e-01,1.243512000000000057e+02
3.900000000000000000e+01,3.846153999999999940e+01,2.688811999999999869e-01,3.861003999999999792e+01,5.306902000000000008e-01,1.266923000000000030e+02
3.950000000000000000e+01,3.906250000000000000e+01,2.652486000000000010e-01,3.921569000000000216e+01,5.512270000000000225e-01,1.244531000000000063e+02
4.000000000000000000e+01,3.952568999999999733e+01,2.710273999999999739e-01,3.952568999999999733e+01,5.834196999999999855e-01,1.330434999999999945e+02
4.050000000000000000e+01,4.016064000000000078e+01,2.694431999999999938e-01,4.000000000000000000e+01,6.046818000000000470e-01,1.380723000000000127e+02
4.100000000000000000e+01,4.048582999999999998e+01,2.664965000000000250e-01,4.048582999999999998e+01,6.257922999999999680e-01,1.391903000000000077e+02
4.150000000000000000e+01,4.115225999999999829e+01,2.503422000000000147e-01,4.098360999999999876e+01,6.110716999999999954e-01,1.474073999999999955e+02
4.200000000000000000e+01,4.166667000000000343e+01,2.785451999999999928e-01,4.149376999999999782e+01,7.039212000000000247e-01,1.486306999999999903e+02
