# Data format: "%int(ChipTimeUS),%float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ),%float(RawAccelX),%float(RawAccelY),%float(RawAccelZ)"
831715796,-0.02254,1.00194,0.00414,-0.07813,1.01074,0.00098
831720632,-0.02566,0.99618,0.00911,-0.08105,1.00488,0.00586
831725480,-0.02726,1.01081,0.00236,-0.08301,1.01953,-0.00098
831730325,-0.02374,0.99509,0.00219,-0.07910,1.00391,-0.00098
831735172,-0.02043,1.00585,0.00605,-0.07617,1.01465,0.00293
831740008,-0.02154,1.00194,0.00508,-0.07715,1.01074,0.00195
831744990,-0.02131,1.00977,0.00609,-0.07715,1.01855,0.00293
831749817,-0.02150,1.00386,0.00215,-0.07715,1.01270,-0.00098
831754663,-0.02045,1.00580,0.00213,-0.07617,1.01465,-0.00098
831759495,-0.02550,1.00204,0.00815,-0.08105,1.01074,0.00488
831764342,-0.02021,1.01368,0.00705,-0.07617,1.02246,0.00391
831769175,-0.02147,1.00485,0.00314,-0.07715,1.01367,0.00000
831774007,-0.02240,1.00591,0.00905,-0.07813,1.01465,0.00586
831778853,-0.01863,0.99991,0.00302,-0.07422,1.00879,0.00000
831783687,-0.02183,0.99214,0.00309,-0.07715,1.00098,0.00000
831788323,-0.02370,0.99608,0.00317,-0.07910,1.00488,0.00000
831793151,-0.02259,0.99999,0.00413,-0.07813,1.00879,0.00098
831797992,-0.02028,1.01076,0.00802,-0.07617,1.01953,0.00488
831802837,-0.01955,1.00192,0.00600,-0.07520,1.01074,0.00293
831807683,-0.02157,1.00096,0.00508,-0.07715,1.00977,0.00195
831812526,-0.02163,0.99899,0.00410,-0.07715,1.00781,0.00098
831817362,-0.01879,0.99406,0.00496,-0.07422,1.00293,0.00195
831822199,-0.02247,1.00392,0.00610,-0.07813,1.01270,0.00293
831826832,-0.02257,1.00004,0.00903,-0.07813,1.00879,0.00586
831831667,-0.02068,0.99797,0.00112,-0.07617,1.00684,-0.00195
831836503,-0.01964,0.99896,0.00403,-0.07520,1.00781,0.00098
831841343,-0.02241,1.00681,0.00219,-0.07813,1.01563,-0.00098
831846180,-0.01876,0.99504,0.00497,-0.07422,1.00391,0.00195
831851016,-0.02157,1.00096,0.00508,-0.07715,1.00977,0.00195
831855857,-0.02168,0.99705,0.00507,-0.07715,1.00586,0.00195
831860683,-0.02139,1.00685,0.00706,-0.07715,1.01563,0.00391
831865315,-0.02262,0.99902,0.00511,-0.07813,1.00781,0.00195
831870156,-0.02424,1.01178,0.00619,-0.08008,1.02051,0.00293
831875003,-0.01855,1.00191,0.00695,-0.07422,1.01074,0.00391
831879839,-0.02257,1.00096,0.00315,-0.07813,1.00977,0.00000
831884675,-0.02049,1.00388,0.00506,-0.07617,1.01270,0.00195
831889510,-0.02050,1.00386,0.00310,-0.07617,1.01270,0.00000
831894337,-0.02563,0.99807,0.00324,-0.08105,1.00684,0.00000
831899160,-0.02244,1.00582,0.00121,-0.07813,1.01465,-0.00195
831904009,-0.02147,1.00394,0.00901,-0.07715,1.01270,0.00586
831908648,-0.02367,0.99707,0.00415,-0.07910,1.00586,0.00098
831913477,-0.01951,1.00383,0.00209,-0.07520,1.01270,-0.00098
