# time,Voltage_channel_1,Voltage_channel_2
0.000000000000000000e+00,-5.200025999999999737e-04,5.999817999999999818e-02
8.000000000000000167e-08,1.999974999999999973e-04,9.999818000000000595e-02
1.600000000000000033e-07,1.199975000000000043e-04,7.999818000000000207e-02
2.400000000000000315e-07,-5.200025999999999737e-04,5.999817999999999818e-02
3.200000000000000067e-07,-5.200025999999999737e-04,7.999818000000000207e-02
3.999999999999999819e-07,1.199975000000000043e-04,5.999817999999999818e-02
4.800000000000000630e-07,-5.200025999999999737e-04,7.999818000000000207e-02
5.600000000000000382e-07,1.999974999999999973e-04,5.999817999999999818e-02
6.400000000000000134e-07,-2.800025000000000148e-04,7.999818000000000207e-02
7.199999999999999886e-07,3.199974999999999868e-04,5.999817999999999818e-02
7.999999999999999638e-07,3.199974999999999868e-04,7.999818000000000207e-02
8.800000000000000449e-07,-3.600025000000000078e-04,5.999817999999999818e-02
9.600000000000001260e-07,3.599974999999999833e-04,5.999817999999999818e-02
1.039999999999999995e-06,-3.200025000000000113e-04,7.999818000000000207e-02
1.120000000000000076e-06,4.399974999999999763e-04,7.999818000000000207e-02
1.199999999999999946e-06,-2.800025000000000148e-04,5.999817999999999818e-02
1.280000000000000027e-06,3.599974999999999833e-04,7.999818000000000207e-02
1.360000000000000108e-06,-3.600025000000000078e-04,5.999817999999999818e-02
1.439999999999999977e-06,-2.800025000000000148e-04,5.999817999999999818e-02
1.520000000000000058e-06,4.799975000000000270e-04,7.999818000000000207e-02
1.599999999999999928e-06,5.599975999999999999e-04,7.999818000000000207e-02
1.680000000000000009e-06,-2.800025000000000148e-04,5.999817999999999818e-02
1.760000000000000090e-06,-3.200025000000000113e-04,7.999818000000000207e-02
1.839999999999999959e-06,6.399975999999999929e-04,5.999817999999999818e-02
1.920000000000000252e-06,6.399975999999999929e-04,7.999818000000000207e-02
1.999999999999999909e-06,-8.000249000000000455e-05,5.999817999999999818e-02
2.079999999999999991e-06,6.399975999999999929e-04,7.999818000000000207e-02
2.160000000000000072e-06,-2.000024999999999947e-04,5.999817999999999818e-02
2.240000000000000153e-06,5.999975999999999964e-04,7.999818000000000207e-02
2.320000000000000234e-06,-1.600024999999999982e-04,5.999817999999999818e-02
2.399999999999999891e-06,6.399975999999999929e-04,7.999818000000000207e-02
2.479999999999999972e-06,-8.000249000000000455e-05,5.999817999999999818e-02
2.560000000000000054e-06,-3.600025000000000078e-04,7.999818000000000207e-02
2.640000000000000135e-06,6.399975999999999929e-04,5.999817999999999818e-02
2.720000000000000216e-06,6.399975999999999929e-04,7.999818000000000207e-02
2.799999999999999873e-06,-2.800025000000000148e-04,5.999817999999999818e-02
2.879999999999999954e-06,6.399975999999999929e-04,7.999818000000000207e-02
2.960000000000000035e-06,-2.800025000000000148e-04,5.999817999999999818e-02
3.040000000000000117e-06,-8.000249000000000455e-05,7.999818000000000207e-02
3.120000000000000198e-06,7.599975999999999824e-04,5.999817999999999818e-02
3.199999999999999855e-06,6.399975999999999929e-04,7.999818000000000207e-02
3.279999999999999936e-06,-2.800025000000000148e-04,5.999817999999999818e-02
3.360000000000000017e-06,-2.488377999999999821e-09,7.999818000000000207e-02
3.440000000000000098e-06,9.999977000000001039e-04,5.999817999999999818e-02
3.520000000000000180e-06,1.079997999999999982e-03,7.999818000000000207e-02
3.600000000000000261e-06,1.599975000000000008e-04,5.999817999999999818e-02
3.679999999999999918e-06,1.199975000000000043e-04,7.999818000000000207e-02
